Name,Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,M/L GRF,Vertical GRF,Knee flex/extension angle,Knee in/external rotation angle,A/P pelvic lean,Ipsi/contralateral pelvic lean,EMG activation for tibialis anterior ,EMG activation for gastrocnemius,EMG activation for soleus
1,25.26655767,9.2418,6.17919,1.52331,-0.306431,-7.68201,-0.197971,-1.25808,10.3199,46.0028,16.5583,25.2059,3.43317,0.936623638,0.926832146,0.964636309
2,15.45379477,11.3902,6.33971,1.94331,-0.351634,-9.79564,-0.0643513,-2.02887,12.5048,46.1789,17.709,25.2186,3.08491,0.925237217,0.904401253,0.97375911
3,12.06283328,13.5031,6.49722,2.28237,-0.414227,-11.1538,-0.170759,-1.75726,14.9972,46.3761,18.9132,25.3094,2.71512,0.918290025,0.879354872,0.982496183
4,14.65702389,14.5132,4.75659,3.21312,-0.385794,21.7868,-0.0163305,-6.24887,18.43,30.9974,23.3255,27.8665,-8.1956,0.909156748,0.318474196,0.939041341
5,20.87748832,11.9641,4.33983,2.98707,-0.359261,23.9277,-0.00671512,-6.29226,16.937,28.4344,22.3001,27.7176,-9.08792,0.914045264,0.289510389,0.928987317
6,50.61254721,9.02761,3.89253,2.71848,-0.331139,25.0959,-0.0131769,-6.19476,15.2547,25.7465,21.1316,27.566,-9.99698,0.913783738,0.264123531,0.918428879
7,51.26267054,7.83282,-0.625194,0.836504,-0.632915,-2.12709,-1.31153,-0.765855,24.2558,33.6866,-2.64056,17.6905,8.5086,0.967950502,0.991031648,0.997654785
8,17.08983726,8.67919,-0.648761,0.71168,-0.50507,-2.22346,-1.57374,-0.898092,15.8242,35.2557,-1.86319,17.4226,8.72341,0.955767402,0.993818072,0.996348986
9,10.69299705,9.71171,-0.646106,0.773603,-0.408754,-2.79875,-0.37577,0.0910869,13.146,36.8691,-1.04363,17.1737,8.97248,0.942708696,0.995899497,0.994997919
10,10.50733336,14.3376,-0.12178,2.17826,-0.281736,16.48,0.0213326,-3.48794,12.7667,29.4204,-4.92154,18.3036,6.82276,0.740768446,0.920488607,0.802166233
11,13.97202262,11.9065,-0.274021,1.9129,-0.240867,15.804,-0.00755554,-3.42693,11.009,27.9865,-5.84346,18.2077,6.31459,0.738298193,0.902101088,0.783935539
12,27.64008229,9.25945,-0.433565,1.62867,-0.200628,14.3723,-0.00446213,-3.22941,9.20505,26.573,-6.75656,18.0895,5.81962,0.735259666,0.883281937,0.767569525
13,2.687682961,28.8178,3.38057,3.42589,0.0570739,21.1642,0.927949,-7.73583,19.6377,24.8592,10.9009,15.1168,-9.20128,0.546894104,0.84768166,0.802768281
14,2.855408559,26.348,3.02561,3.25031,0.0536877,27.189,0.716552,-7.9451,17.955,21.9406,8.86366,15.418,-10.0857,0.524656393,0.835637817,0.78300048
15,3.140718046,23.179,2.65285,3.01378,0.0454903,32.2155,0.420372,-7.94051,16.0059,18.973,6.56156,15.8063,-10.9546,0.502025906,0.823185584,0.762763548
16,3.714203182,19.2009,2.26264,2.70867,0.0389625,34.9961,0.147139,-7.60158,13.9129,16.0017,4.00594,16.2836,-11.7926,0.480429043,0.808840903,0.742204869
17,5.299394381,14.3419,1.86248,2.32621,0.0294553,34.4126,-0.0794147,-6.84954,11.7182,13.0873,1.23195,16.8486,-12.584,0.461941916,0.792381348,0.721673174
18,22.11054298,8.62667,1.46727,1.87513,0.0190045,30.1914,-0.229418,-5.84298,9.37691,10.3129,-1.68437,17.4954,-13.3122,0.447769437,0.77442315,0.701110343
19,2.682244479,26.082,-0.332588,3.22429,0.024314,18.2556,1.13836,-7.12399,18.693,33.8244,4.62832,25.185,-2.96041,0.750911857,0.886008464,0.945060568
20,2.799984879,24.3705,-0.639321,3.07765,0.0296646,22.2948,1.06488,-7.25921,17.5849,31.4466,4.13696,24.9985,-3.28735,0.735929187,0.87043502,0.935710119
21,3.005258696,22.1238,-0.947471,2.89126,0.0343316,25.8327,0.980476,-7.28797,16.297,28.9133,3.47234,24.8105,-3.65598,0.721027124,0.854349469,0.925619412
22,3.396221864,19.28,-1.24849,2.66699,0.0366128,28.3892,0.850111,-7.17384,14.8253,26.2528,2.60037,24.6353,-4.06132,0.712568515,0.838948808,0.912496034
23,4.261196106,15.8037,-1.53312,2.40436,0.0392078,29.4438,0.699379,-6.90264,13.193,23.4993,1.49291,24.4854,-4.49531,0.711717113,0.825282231,0.896715233
24,7.107517685,11.7013,-1.7916,2.10682,0.0347543,28.7182,0.50707,-6.44018,11.4384,20.6955,0.136972,24.3709,-4.94727,0.710976544,0.811882116,0.880351094
25,56.00640162,7.49627,4.4391,0.587605,-0.0545942,-3.18558,0.5276,-0.00644692,4.63418,38.277,-5.17692,23.5138,7.73934,0.728405921,0.947978157,0.957351298
26,8.145561774,9.57233,4.53256,0.93904,-0.0834778,-5.53148,0.668846,-0.326815,6.77426,38.3934,-4.59383,23.3473,7.8161,0.715527257,0.959036944,0.965535111
27,5.556709339,18.034,1.91373,2.93091,-0.116466,25.4594,1.00949,-7.06509,16.1637,22.599,-0.460784,23.6946,-1.64936,0.772765762,0.921164688,0.951664356
28,6.842414521,15.0978,1.74751,2.64903,-0.100438,26.0265,0.876426,-6.81596,14.3406,20.4213,-1.68599,23.4496,-2.19588,0.803413305,0.910265084,0.944449679
29,10.34915085,11.7814,1.59909,2.33064,-0.0864506,25.2906,0.716494,-6.37795,12.3801,18.2793,-3.0197,23.2088,-2.71114,0.832813679,0.899100175,0.930397211
30,47.46210787,8.11507,1.46944,1.98758,-0.0743084,23.266,0.544367,-5.7483,10.3191,16.2183,-4.43061,22.9791,-3.18952,0.861144114,0.887683226,0.914386281
31,2.66590489,22.7098,1.17466,2.91163,0.0240997,15.6225,0.728617,-3.71668,18.584,33.034,16.3606,24.6922,9.1453,0.501014677,0.820947929,0.958823648
32,2.836750178,20.5675,0.918703,2.6876,0.0250365,17.8688,0.699836,-4.05271,17.1271,30.7329,14.8485,24.404,8.70877,0.482842415,0.797893273,0.953364107
33,3.154186219,18.0258,0.655688,2.43743,0.0258655,19.2817,0.66356,-4.31567,15.4968,28.3314,13.1952,24.0481,8.26594,0.466567517,0.774424373,0.94505106
34,3.807442154,15.0849,0.38833,2.1577,0.0268851,19.5758,0.630075,-4.46934,13.7466,25.8568,11.4262,23.6259,7.81874,0.452871147,0.750526435,0.934727932
35,5.650128753,11.76,0.121076,1.8568,0.0263033,18.6849,0.590897,-4.47533,11.8645,23.3423,9.57731,23.14,7.36881,0.439563677,0.726677812,0.923036131
36,25.96728091,8.08799,-0.139741,1.54216,0.0204096,16.7112,0.551756,-4.30327,9.83733,20.827,7.69238,22.5938,6.91775,0.425973371,0.702178233,0.907682751
37,10.75633628,9.34517,3.68293,2.2089,-0.111029,-11.3803,0.484534,1.23792,15.3288,28.8348,10.4955,13.4137,3.72542,0.662762715,0.999455685,0.999934239
38,5.963629869,11.466,3.68859,2.47098,-0.105905,-12.5727,0.238382,1.05842,16.7897,29.5482,11.3449,13.6048,3.71557,0.677008359,0.998301078,0.999907161
39,4.462060159,13.5082,3.68153,2.73418,-0.0975266,-13.4726,0.138254,0.873775,18.3435,30.2185,12.2358,13.8299,3.65868,0.692150235,0.996976028,0.999106421
40,4.521173081,15.0539,2.72436,3.44109,0.0929836,23.3739,0.0508424,-5.8964,19.7037,22.7826,13.9964,16.6392,-1.71089,0.910194349,0.969903233,0.953112247
41,6.294900808,12.3386,2.60635,3.14406,0.0923479,24.4993,0.0539082,-5.86229,17.8661,21.1366,13.0202,16.5717,-2.24117,0.918730672,0.96388278,0.944470448
42,13.9653023,9.30286,2.48164,2.80924,0.0881209,24.3068,0.0523317,-5.69365,15.8513,19.4338,12.0226,16.4823,-2.77197,0.927172945,0.957581922,0.934849968
43,2.166175473,23.3982,-0.158098,1.81021,0.117657,13.5648,0.301314,-4.01632,11.1349,26.9755,-5.53526,14.3922,-0.844294,0.972987282,0.642388885,0.949627563
44,2.315941336,20.8928,-0.432118,1.64858,0.111104,13.344,0.215314,-3.84356,10.082,26.0774,-6.15018,14.1687,-1.25869,0.97568099,0.619781719,0.94143169
45,2.509975637,18.1933,-0.699888,1.44545,0.0969954,12.2585,0.136824,-3.46053,8.93406,25.2755,-6.73883,13.9475,-1.64956,0.978397971,0.595946722,0.933235817
46,2.80465876,15.3763,-0.952524,1.20938,0.0806812,10.4335,0.0745936,-3.01444,7.58723,24.5828,-7.28364,13.7324,-2.01257,0.981743289,0.57053206,0.924828409
47,3.37619201,12.5314,-1.18096,0.952722,0.059705,8.13155,0.0137497,-2.47932,6.07675,24.0126,-7.76645,13.5275,-2.3438,0.984937341,0.543929059,0.915457839
48,5.158176137,9.75459,-1.37702,0.690805,0.0418749,5.65641,-0.00624518,-1.88939,4.56249,23.5796,-8.16939,13.3363,-2.63971,0.987945218,0.515592016,0.905187119
49,3.215108617,10.9478,3.40822,0.728277,0.24379,-1.44461,2.0642,-2.50707,14.3326,36.7884,2.40069,24.7443,11.3573,0.996969473,0.951786022,0.991028992
50,4.304398292,11.9647,3.5196,1.24186,0.421808,-3.70857,1.05948,-3.20056,26.8028,37.7722,4.33626,25.0793,11.5447,0.993080745,0.961119843,0.996930033
51,3.047602581,22.8784,3.59222,2.82503,0.42782,28.2673,1.07185,-7.28652,15.2542,24.7164,10.1419,29.6424,4.17018,0.491181302,0.885749505,0.79476501
52,3.586593599,18.9919,3.56517,2.52941,0.382478,29.0188,0.850442,-7.09164,13.1966,22.3325,8.84326,29.5217,3.5101,0.48532206,0.869864783,0.779019393
53,4.951382206,14.4453,3.50367,2.16842,0.319883,27.5994,0.618114,-6.55608,10.9067,19.8639,7.33544,29.362,2.85307,0.484811832,0.853985445,0.763152546
54,13.48211921,9.35305,3.4011,1.73162,0.240657,23.6546,0.345972,-5.54455,8.54564,17.3559,5.65322,29.165,2.20424,0.492325125,0.837880028,0.747041457
55,47.27245209,7.6449,7.537,0.753118,0.161086,-3.25958,-0.24793,-0.316146,5.14576,32.3555,-6.99654,7.58076,-0.0706689,0.580356697,0.976071211,0.963369268
56,10.29112378,9.85945,7.99909,1.17827,0.244176,-5.64252,-0.334692,-1.2619,7.12138,31.4924,-6.15918,7.20057,0.159788,0.587349753,0.982607098,0.965299086
57,7.16545845,12.1959,8.46963,1.55425,0.315257,-7.59489,-0.501173,-1.68008,9.06088,30.8521,-5.17384,6.89223,0.376961,0.595159115,0.987832979,0.966598759
58,7.40866382,17.2234,6.72729,3.1991,0.676584,22.8092,0.0214068,-6.50589,18.3621,28.4124,-0.373897,5.18908,-5.40867,0.793680372,0.959667881,0.984321574
59,9.150828633,14.4212,6.35354,2.86375,0.579605,24.1952,0.054647,-6.3238,16.4131,26.8279,-1.23117,4.84783,-6.06347,0.807795374,0.95234505,0.973680724
60,14.35551884,11.1871,5.95582,2.48189,0.475089,24.1108,0.100762,-5.97602,14.2108,25.2278,-2.11382,4.52034,-6.67032,0.826241695,0.943311673,0.959409383
61,22.29417646,8.27907,0.596473,1.54434,-0.0907207,-11.3856,0.130229,1.71438,13.6527,41.9779,-7.39733,14.2985,10.0751,0.979171408,0.989428306,0.968134523
62,7.773780998,10.5115,0.680824,1.74098,-0.099086,-12.2079,0.0614505,1.59921,15.4056,43.3984,-6.05456,14.0684,10.0882,0.983052559,0.997038762,0.976496663
63,5.282117121,12.5918,0.751065,1.93338,-0.101718,-12.6998,0.0545411,1.53195,17.1471,44.6857,-4.79214,13.9055,10.0736,0.986775449,0.999934518,0.982096
64,4.290791377,14.5042,0.80729,2.12334,-0.0990673,-12.8943,0.15845,1.50258,18.8415,45.8188,-3.62047,13.8142,10.021,0.990337065,0.999130546,0.986979698
65,4.701062027,12.9595,-1.91587,1.83777,0.102368,17.6214,-0.432468,-3.86058,12.6231,29.1743,-1.57338,13.6457,-3.1398,0.855233826,0.904727431,0.946608953
66,9.106968338,9.79019,-2.30015,1.58669,0.0953716,16.7226,-0.480405,-3.76188,10.8191,27.2322,-2.44565,13.4674,-3.76814,0.837947256,0.89516707,0.93963472
67,4.58376003,28.1138,6.29524,2.80088,-0.276265,13.5209,-0.933446,-4.28618,15.6638,23.4559,5.4872,25.5427,2.52592,0.266460176,0.957849291,0.858597759
68,4.896371749,25.9539,6.08939,2.70204,-0.26009,16.5423,-0.995498,-4.54831,14.5807,21.4596,4.39301,25.4414,1.7707,0.252074671,0.952814415,0.840153254
69,5.384513801,23.3003,5.84214,2.57267,-0.243129,19.2995,-1.01801,-4.72255,13.4532,19.4046,3.1655,25.3079,1.00138,0.240394188,0.947174355,0.82144545
70,6.223253755,20.1377,5.54671,2.41228,-0.221103,21.5298,-0.994586,-4.81065,12.2512,17.2938,1.78856,25.1367,0.223497,0.234378895,0.940554772,0.802440589
71,7.867167357,16.4745,5.19909,2.20746,-0.199267,22.8051,-0.934736,-4.77633,10.9443,15.1305,0.258473,24.9239,-0.556731,0.229726361,0.931770255,0.782456792
72,12.56036334,12.3477,4.79909,1.96796,-0.177114,22.909,-0.847432,-4.63474,9.55129,12.9221,-1.41371,24.6674,-1.33232,0.225392138,0.922661309,0.759411288
73,25.63115057,9.07457,4.88751,2.72863,-0.296953,-17.7781,-0.196438,-3.90734,15.9865,37.9935,2.19265,22.2038,6.73628,0.930491662,0.999003046,0.999723562
74,12.42307953,11.5679,5.0953,3.14412,-0.348618,-19.2971,0.0980744,-2.8978,19.3552,38.258,3.02878,22.7066,6.502,0.909734003,0.999963076,0.998276325
75,8.977050612,13.8554,5.28463,3.46022,-0.382818,-19.3094,0.247191,-1.70999,22.0741,38.5666,3.84969,23.2185,6.25543,0.886047978,0.999547678,0.996601433
76,8.270920963,15.8208,4.40154,4.11501,-0.314887,25.0708,-0.632967,-7.3718,23.478,35.667,4.44526,22.6405,2.98934,0.513930511,0.944092126,0.954737261
77,10.46281394,13.6251,3.98918,3.89446,-0.300176,29.2688,-0.608745,-7.72433,22.2483,34.243,2.83811,22.1529,2.45257,0.49679542,0.937584233,0.950363029
78,16.54476505,10.9718,3.52683,3.61097,-0.282609,32.4959,-0.58151,-8.05016,20.5533,32.6113,0.945615,21.6567,1.86114,0.480108628,0.929433213,0.946061971
79,3.107785393,16.2094,1.87608,1.8487,-0.22027,-7.45052,2.29038,-3.82911,14.8811,36.0769,-1.1982,21.654,1.87832,0.908847384,0.999995606,1
80,3.11600449,17.8999,2.01381,2.19226,-0.288773,-8.29609,2.30385,-4.25401,17.9512,36.2414,-0.515156,21.6723,1.8788,0.884830275,0.999758343,0.999777014
81,3.365525188,20.1794,2.01571,2.85416,-0.0897608,25.7621,0.446527,-6.32084,14.9094,25.9252,-0.328296,19.7246,-2.47296,0.420007479,0.910190448,0.941716386
82,4.038558867,16.8607,1.85117,2.57211,-0.0805773,27.3075,0.377554,-6.1502,13.241,23.4476,-1.85173,19.4386,-2.84293,0.438476795,0.896442373,0.932230459
83,5.801517725,12.9947,1.65887,2.23133,-0.0771917,26.8684,0.320906,-5.76461,11.3575,20.9241,-3.38922,19.1951,-3.17694,0.460370567,0.880541355,0.922630025
84,19.7736392,8.64682,1.44018,1.83524,-0.0760983,24.1753,0.245499,-5.14355,9.27416,18.4192,-4.86713,18.9907,-3.46153,0.482469894,0.864044983,0.91114928
85,7.770363927,10.7387,-0.367208,2.26836,-0.648311,-15.8865,1.13869,2.16334,20.6366,25.9268,-7.68738,14.5455,3.52321,0.97060239,0.976305326,0.884507375
86,4.566103352,14.4728,-0.246409,2.7417,-0.724086,-14.9925,0.270041,1.7864,23.6588,27.2178,-7.0984,14.1238,3.09801,0.954891456,0.965606362,0.91607424
87,3.89159601,17.898,-0.56698,3.41112,-0.623906,9.59989,0.454044,-1.58254,25.6417,23.6423,-9.26667,13.8018,0.940855,0.865642491,0.918703568,0.998421203
88,4.332638681,15.8707,-0.845823,3.09317,-0.53975,14.1731,0.409765,-2.48257,23.0773,21.4236,-10.5558,14.0967,0.328701,0.836589435,0.895427435,0.999959169
89,5.557120149,12.8754,-1.16981,2.60866,-0.441585,15.5841,0.332935,-3.01063,19.4325,19.2924,-11.9155,14.525,-0.300086,0.805484033,0.867102647,0.997885864
90,13.219008,9.07493,-1.50316,2.00834,-0.33387,13.7617,0.209242,-3.21367,14.8309,17.592,-13.2153,15.062,-0.935333,0.769916277,0.828575913,0.993621297
91,2.007307962,21.5818,1.39416,2.19523,0.000556955,12.1316,-0.50187,-3.14974,13.6801,29.6864,25.5482,5.29322,-1.99801,0.189138066,0.760754621,0.867661395
92,2.166463531,19.679,1.23255,2.06734,0.0103047,13.2382,-0.607213,-3.20158,12.6282,28.2705,24.597,5.30742,-2.3665,0.183789842,0.730960901,0.841360061
93,2.419720992,17.5174,1.05282,1.92028,0.0125622,13.9704,-0.666517,-3.19994,11.518,26.865,23.5279,5.30603,-2.71054,0.178430586,0.700292103,0.814258542
94,2.869267135,15.1008,0.854461,1.75332,0.0161196,14.1968,-0.667539,-3.12655,10.358,25.4729,22.3545,5.28728,-3.02634,0.173109442,0.671878787,0.787236407
95,3.86537769,12.4395,0.638189,1.57123,0.0194151,13.893,-0.617848,-2.99584,9.16266,24.0977,21.0963,5.24951,-3.31061,0.167841454,0.642536985,0.758991766
96,7.65459913,9.5519,0.406008,1.37994,0.0206521,13.0735,-0.53826,-2.79443,7.96903,22.7444,19.7779,5.19144,-3.56062,0.162890398,0.612311889,0.729072134
